"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","CSV File Name"
"Hubei","Mainland China","2020-02-02T23:43:02","11177","350","295","02-02-2020.csv"
"Zhejiang","Mainland China","2020-02-02T18:03:05","661","0","32","02-02-2020.csv"
"Guangdong","Mainland China","2020-02-02T18:03:05","632","0","15","02-02-2020.csv"
"Henan","Mainland China","2020-02-02T18:03:05","493","2","10","02-02-2020.csv"
"Hunan","Mainland China","2020-02-02T18:03:05","463","0","16","02-02-2020.csv"
"Anhui","Mainland China","2020-02-02T18:03:05","340","0","7","02-02-2020.csv"
"Jiangxi","Mainland China","2020-02-02T18:03:05","333","0","12","02-02-2020.csv"
"Chongqing","Mainland China","2020-02-02T23:33:02","300","2","7","02-02-2020.csv"
"Jiangsu","Mainland China","2020-02-02T18:03:05","236","0","7","02-02-2020.csv"
"Sichuan","Mainland China","2020-02-02T18:03:05","231","1","11","02-02-2020.csv"
"Shandong","Mainland China","2020-02-02T18:03:05","230","0","6","02-02-2020.csv"
"Beijing","Mainland China","2020-02-02T08:43:02","191","1","9","02-02-2020.csv"
"Shanghai","Mainland China","2020-02-02T05:53:02","182","1","10","02-02-2020.csv"
"Fujian","Mainland China","2020-02-02T03:43:01","159","0","0","02-02-2020.csv"
"Shaanxi","Mainland China","2020-02-02T03:23:14","116","0","0","02-02-2020.csv"
"Guangxi","Mainland China","2020-02-02T00:23:13","111","0","2","02-02-2020.csv"
"Yunnan","Mainland China","2020-02-02T18:03:05","105","0","3","02-02-2020.csv"
"Hebei","Mainland China","2020-02-02T02:53:02","104","1","3","02-02-2020.csv"
"Heilongjiang","Mainland China","2020-02-02T03:23:14","95","2","2","02-02-2020.csv"
"Liaoning","Mainland China","2020-02-02T18:03:05","70","0","1","02-02-2020.csv"
"Shanxi","Mainland China","2020-02-02T23:23:13","66","0","3","02-02-2020.csv"
"Hainan","Mainland China","2020-02-02T18:03:05","64","1","4","02-02-2020.csv"
"Gansu","Mainland China","2020-02-02T23:43:02","51","0","3","02-02-2020.csv"
"Tianjin","Mainland China","2020-02-02T09:43:01","48","0","1","02-02-2020.csv"
"Guizhou","Mainland China","2020-02-02T01:03:32","38","0","2","02-02-2020.csv"
"Ningxia","Mainland China","2020-02-02T01:43:02","28","0","0","02-02-2020.csv"
"Inner Mongolia","Mainland China","2020-02-02T03:43:01","27","0","1","02-02-2020.csv"
"Jilin","Mainland China","2020-02-02T02:33:02","23","0","1","02-02-2020.csv"
"Xinjiang","Mainland China","2020-02-02T00:43:02","21","0","0","02-02-2020.csv"
"","Japan","2020-02-01T18:53:03","20","0","1","02-02-2020.csv"
"","Thailand","2020-01-31T10:37:00","19","0","5","02-02-2020.csv"
"","Singapore","2020-02-02T01:03:32","18","0","0","02-02-2020.csv"
"Hong Kong","Hong Kong","2020-02-02T23:53:02","15","0","0","02-02-2020.csv"
"","South Korea","2020-02-02T02:23:13","15","0","0","02-02-2020.csv"
"Qinghai","Mainland China","2020-02-02T05:33:03","11","0","0","02-02-2020.csv"
"","Germany","2020-02-02T18:03:05","10","0","0","02-02-2020.csv"
"Taiwan","Taiwan","2020-01-31T15:20:56","10","0","0","02-02-2020.csv"
"Macau","Macau","2020-02-02T04:23:14","8","0","0","02-02-2020.csv"
"","Malaysia","2020-01-31T08:15:53","8","0","0","02-02-2020.csv"
"","France","2020-02-01T01:52:40","6","0","0","02-02-2020.csv"
"","Vietnam","2020-02-01T07:38:12","6","0","1","02-02-2020.csv"
"","United Arab Emirates","2020-02-02T05:43:01","5","0","0","02-02-2020.csv"
"New South Wales","Australia","2020-02-01T18:12:49","4","0","2","02-02-2020.csv"
"Victoria","Australia","2020-02-01T18:12:49","4","0","0","02-02-2020.csv"
"Ontario","Canada","2020-02-01T18:12:49","3","0","0","02-02-2020.csv"
"Queensland","Australia","2020-02-02T22:33:07","2","0","0","02-02-2020.csv"
"South Australia","Australia","2020-02-02T22:33:07","2","0","0","02-02-2020.csv"
"","India","2020-02-02T06:03:08","2","0","0","02-02-2020.csv"
"","Italy","2020-01-31T08:15:53","2","0","0","02-02-2020.csv"
"","Philippines","2020-02-02T03:33:07","2","1","0","02-02-2020.csv"
"","Russia","2020-01-31T16:13:45","2","0","0","02-02-2020.csv"
"","UK","2020-02-01T01:52:40","2","0","0","02-02-2020.csv"
"Chicago, IL","US","2020-02-01T19:43:03","2","0","0","02-02-2020.csv"
"","Cambodia","2020-01-31T08:15:53","1","0","0","02-02-2020.csv"
"British Columbia","Canada","2020-02-01T18:12:49","1","0","0","02-02-2020.csv"
"","Finland","2020-01-31T08:15:53","1","0","0","02-02-2020.csv"
"Tibet","Mainland China","2020-02-01T01:52:40","1","0","0","02-02-2020.csv"
"","Nepal","2020-01-31T08:15:53","1","0","0","02-02-2020.csv"
"","Spain","2020-02-01T23:43:02","1","0","0","02-02-2020.csv"
"","Sri Lanka","2020-01-31T08:15:53","1","0","0","02-02-2020.csv"
"","Sweden","2020-02-01T02:13:26","1","0","0","02-02-2020.csv"
"Boston, MA","US","2020-02-01T19:43:03","1","0","0","02-02-2020.csv"
"Los Angeles, CA","US","2020-02-01T19:53:03","1","0","0","02-02-2020.csv"
"Orange, CA","US","2020-02-01T19:53:03","1","0","0","02-02-2020.csv"
"Santa Clara, CA","US","2020-02-01T19:53:03","1","0","0","02-02-2020.csv"
"Seattle, WA","US","2020-02-01T19:43:03","1","0","0","02-02-2020.csv"
"Tempe, AZ","US","2020-02-01T19:43:03","1","0","0","02-02-2020.csv"
