"Province/State","Country/Region","Last Update","Confirmed","Deaths","Recovered","CSV File Name"
"Hubei","Mainland China","2020-02-13T14:13:06","48206","1310","3459","02-13-2020.csv"
"Guangdong","Mainland China","2020-02-13T13:33:01","1241","2","314","02-13-2020.csv"
"Henan","Mainland China","2020-02-13T14:53:02","1169","10","296","02-13-2020.csv"
"Zhejiang","Mainland China","2020-02-13T14:13:06","1145","0","360","02-13-2020.csv"
"Hunan","Mainland China","2020-02-13T11:53:02","968","2","339","02-13-2020.csv"
"Anhui","Mainland China","2020-02-13T13:33:01","910","5","157","02-13-2020.csv"
"Jiangxi","Mainland China","2020-02-13T01:13:08","872","1","170","02-13-2020.csv"
"Jiangsu","Mainland China","2020-02-13T10:33:23","570","0","139","02-13-2020.csv"
"Chongqing","Mainland China","2020-02-13T23:23:05","529","4","128","02-13-2020.csv"
"Shandong","Mainland China","2020-02-13T13:33:01","509","2","105","02-13-2020.csv"
"Sichuan","Mainland China","2020-02-13T13:33:01","451","1","104","02-13-2020.csv"
"Heilongjiang","Mainland China","2020-02-13T12:13:06","395","9","33","02-13-2020.csv"
"Beijing","Mainland China","2020-02-13T14:13:06","366","3","69","02-13-2020.csv"
"Shanghai","Mainland China","2020-02-13T06:13:15","315","1","62","02-13-2020.csv"
"Fujian","Mainland China","2020-02-13T10:33:23","279","0","57","02-13-2020.csv"
"Hebei","Mainland China","2020-02-13T10:33:23","265","3","68","02-13-2020.csv"
"Shaanxi","Mainland China","2020-02-13T10:33:23","229","0","46","02-13-2020.csv"
"Guangxi","Mainland China","2020-02-13T00:23:10","222","2","33","02-13-2020.csv"
"Diamond Princess cruise ship","Others","2020-02-12T04:23:38","175","0","0","02-13-2020.csv"
"Hainan","Mainland China","2020-02-13T10:43:03","157","4","30","02-13-2020.csv"
"Yunnan","Mainland China","2020-02-13T08:43:08","156","0","27","02-13-2020.csv"
"Guizhou","Mainland China","2020-02-13T10:33:23","135","1","27","02-13-2020.csv"
"Shanxi","Mainland China","2020-02-13T23:23:05","126","0","36","02-13-2020.csv"
"Tianjin","Mainland China","2020-02-13T23:43:02","119","3","21","02-13-2020.csv"
"Liaoning","Mainland China","2020-02-13T14:33:02","117","1","22","02-13-2020.csv"
"Gansu","Mainland China","2020-02-13T15:53:03","90","2","39","02-13-2020.csv"
"Jilin","Mainland China","2020-02-13T13:33:01","84","1","24","02-13-2020.csv"
"Ningxia","Mainland China","2020-02-13T01:23:08","64","0","24","02-13-2020.csv"
"Xinjiang","Mainland China","2020-02-13T10:33:23","63","1","6","02-13-2020.csv"
"Inner Mongolia","Mainland China","2020-02-13T01:23:08","61","0","6","02-13-2020.csv"
"","Singapore","2020-02-13T14:33:02","58","0","15","02-13-2020.csv"
"Hong Kong","Hong Kong","2020-02-13T14:53:02","53","1","1","02-13-2020.csv"
"","Thailand","2020-02-13T17:53:03","33","0","12","02-13-2020.csv"
"","Japan","2020-02-13T12:23:05","28","1","9","02-13-2020.csv"
"","South Korea","2020-02-12T14:43:03","28","0","7","02-13-2020.csv"
"","Malaysia","2020-02-13T10:53:02","19","0","3","02-13-2020.csv"
"Qinghai","Mainland China","2020-02-13T08:43:08","18","0","11","02-13-2020.csv"
"Taiwan","Taiwan","2020-02-09T09:13:11","18","0","1","02-13-2020.csv"
"","Germany","2020-02-13T15:13:11","16","0","1","02-13-2020.csv"
"","Vietnam","2020-02-13T06:33:02","16","0","7","02-13-2020.csv"
"","France","2020-02-12T18:53:02","11","0","2","02-13-2020.csv"
"Macau","Macau","2020-02-13T14:13:06","10","0","3","02-13-2020.csv"
"","UK","2020-02-12T19:03:06","9","0","1","02-13-2020.csv"
"","United Arab Emirates","2020-02-12T00:33:02","8","0","1","02-13-2020.csv"
"Queensland","Australia","2020-02-09T19:33:02","5","0","0","02-13-2020.csv"
"New South Wales","Australia","2020-02-13T17:53:03","4","0","4","02-13-2020.csv"
"Victoria","Australia","2020-02-13T17:53:03","4","0","4","02-13-2020.csv"
"British Columbia","Canada","2020-02-07T05:43:03","4","0","0","02-13-2020.csv"
"","India","2020-02-13T18:53:02","3","0","0","02-13-2020.csv"
"","Italy","2020-02-07T17:53:02","3","0","0","02-13-2020.csv"
"","Philippines","2020-02-12T07:43:02","3","1","1","02-13-2020.csv"
"South Australia","Australia","2020-02-02T22:33:07","2","0","0","02-13-2020.csv"
"Toronto, ON","Canada","2020-02-04T00:13:06","2","0","0","02-13-2020.csv"
"","Russia","2020-02-12T14:43:03","2","0","2","02-13-2020.csv"
"","Spain","2020-02-09T20:33:03","2","0","0","02-13-2020.csv"
"Chicago, IL","US","2020-02-09T19:03:03","2","0","2","02-13-2020.csv"
"San Benito, CA","US","2020-02-03T03:53:02","2","0","0","02-13-2020.csv"
"San Diego County, CA","US","2020-02-13T03:13:08","2","0","0","02-13-2020.csv"
"Santa Clara, CA","US","2020-02-03T00:43:02","2","0","0","02-13-2020.csv"
"","Belgium","2020-02-04T15:43:02","1","0","0","02-13-2020.csv"
"","Cambodia","2020-02-12T07:43:02","1","0","1","02-13-2020.csv"
"London, ON","Canada","2020-02-12T18:53:03","1","0","1","02-13-2020.csv"
"","Finland","2020-02-12T00:03:12","1","0","1","02-13-2020.csv"
"Tibet","Mainland China","2020-02-12T06:43:02","1","0","1","02-13-2020.csv"
"","Nepal","2020-02-12T14:43:03","1","0","1","02-13-2020.csv"
"","Sri Lanka","2020-02-08T03:43:03","1","0","1","02-13-2020.csv"
"","Sweden","2020-02-01T02:13:26","1","0","0","02-13-2020.csv"
"Boston, MA","US","2020-02-01T19:43:03","1","0","0","02-13-2020.csv"
"Los Angeles, CA","US","2020-02-01T19:53:03","1","0","0","02-13-2020.csv"
"Madison, WI","US","2020-02-05T21:53:02","1","0","0","02-13-2020.csv"
"Orange, CA","US","2020-02-01T19:53:03","1","0","0","02-13-2020.csv"
"San Antonio, TX","US","2020-02-13T18:53:02","1","0","0","02-13-2020.csv"
"Seattle, WA","US","2020-02-09T07:03:04","1","0","1","02-13-2020.csv"
"Tempe, AZ","US","2020-02-01T19:43:03","1","0","0","02-13-2020.csv"
